UnitID,Institution Name,Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Published in-district tuition and fees 2019-20 (IC2019_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Published in-district tuition and fees 2018-19 (IC2018_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Published in-district tuition and fees 2017-18 (IC2017_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Published in-district tuition and fees 2016-17 (IC2016_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Published in-district tuition and fees 2015-16 (IC2015_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Published in-district tuition and fees 2014-15 (IC2014_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1213_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),Published in-district tuition and fees 2013-14 (IC2013_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1112_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1112_RV),Published in-district tuition and fees 2012-13 (IC2012_AY),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA1011_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1011_RV),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort (SFA0910_RV),Total amount of institutional grant aid received by full-time first-time undergraduates (SFA0910_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV),
217156,Brown University,1660,34737568,1652,32539557,58404,1637,30482738,55466,1679,27878108,53419,1613,26556034,51366,1559,26161297,49346,1542,26574900,47434,1536,24087011,45612,1507,21090819,43758,1499,21620114,42230,1493,16656093,40820,38848,
190150,Columbia University in the City of New York,1434,42332018,1447,40097332,61788,1434,38165263,59430,1447,35273577,57208,1423,32375073,55056,1448,34576721,53000,1476,28275367,51008,1437,27156329,49138,1386,25041815,47246,1401,25893614,45290,1436,26570688,43304,41316,
190415,Cornell University,3189,66066035,3295,65376525,57222,3349,62704785,55188,3314,54037813,52853,3180,51146166,50953,3225,50767990,49116,3223,49550761,47286,3217,54413116,45358,3307,56802724,43413,3179,49456408,41541,3181,49398415,39666,37954,
182670,Dartmouth College,1190,26768464,1167,26425537,57638,1215,25383411,55453,1116,22639485,53368,1112,22759993,51438,1152,22114402,49506,1112,21061806,48108,1095,18976615,46752,1112,16439462,45042,1136,17270701,42996,1094,19007460,40437,38679,
166027,Harvard University,1646,52176557,1653,50215649,51925,1682,47261195,50420,1665,44496602,48949,1659,41899663,47074,1650,37997153,45278,1658,38869051,43938,1664,38367873,42292,1655,40112145,39966,1670,39476571,39851,1675,38532853,38415,37012,
166683,Massachusetts Institute of Technology,1102,33517987,1114,31354727,53790,1097,30228479,51832,1115,26531744,49892,1105,23149107,48452,1043,21589653,46704,1115,21242415,45016,1135,21017478,43498,1128,20818270,42050,1067,20264208,40732,1072,21535046,39212,37782,
186131,Princeton University,1335,42421458,1338,41465150,52800,1305,37911283,50340,1305,35513974,47140,1317,33507113,45320,1310,30928218,43450,1284,29349432,41820,1357,28520336,40170,1298,25581116,39537,1312,25491635,37865,1315,25450229,36640,35340,
243744,Stanford University,1698,48517680,1696,49246603,53529,1700,44830819,51354,1738,41785496,49617,1720,37352236,47940,1678,34022933,46320,1677,33919121,45195,1765,34420573,43683,1707,33987768,42225,1674,31991713,41564,1694,34121226,40172,38676,
144050,University of Chicago,1725,38395791,1809,38750367,60552,1736,39081906,58230,1591,33813657,56034,1537,36863039,53649,1445,29233511,51351,1426,26185852,49380,1527,28159811,47514,1411,22267968,45609,1387,21426320,43780,1336,22302179,42041,39381,
215062,University of Pennsylvania,2341,56490483,2457,57889250,57770,2412,49745626,55584,2428,49004167,53534,2377,48381987,51464,2350,42644007,49536,2353,43245442,47668,2397,43117433,45890,2409,38154736,43738,2370,36733918,42098,2404,33196819,40514,38970,
130794,Yale University,1550,46340145,1573,46673340,55500,1579,40910065,53430,1367,34090136,51400,1363,31524877,49480,1360,28503606,47600,1358,27651071,45800,1355,28234850,44000,1349,27760965,42300,1343,28417492,40500,1305,26834351,38300,36500,
